firstname,lastname,age,email,phone,company,address1,address2,city,state,postalcode,skills,future_interest
Test_2,Man_2,42,garbage2@what.com,5135135135,NOPE,"2206 Milligan Pike",,Cincinnati,OH,45218,"stuff_b; more_b; things_b",
Matt,Cipperly,28,mc+8@tinyatom.net,4124324543,NA,"19 Hot Metal Street","5th Floor",Pittsburgh,PA,15203,cheesemaking,
Amy,D,27,Amydepalma@gmail.com,7249531747,tooth,dsf,5465,5465,PA,54655,555,
Testguy,Userguy,89,test@user.com,9101010101010,Unknown,"50000 Testguy Userman Something",,Dunno,AK,98545,"fixing; broken; stuff",1
New,Guy,56,newguy@email.com,4373848585869,Nope,"22 hot",,Atlanta,GA,45445,Baseball,1
Matt,Cipperly,25,mc+done@tinyatom.net,4124124124,,"Pittsburgh Street",,Pittsburgh,PA,15222,building,1
Larry,Leininger,24,lala@land.com,5332341278,N/A,"123 Evergreen Tr",,Eighty-Four,PA,15330,"Lumber; Wood; Trees",1
Cheese,Burger,91,cheese@burger.com,4124320712,,"Test Address 50",,Cleveland,OH,44002,"Cheese; Burgering",1
Hot,Dog,20,hot@dog.com,4124124124,,"1 Hot Dog Way",,Baltimore,MD,20202,,1
Tasty,Tacos,76,tacos@tasty.com,4124124124,,"1 Tasty Taco",,"Las Vegas",NV,66050,,1
Amy,D,27,Amydepalma@gmail.com,7249531747,tooth,dsf,5465,5465,PA,54655,555,
